 ,Price,Area,Avg_Price_Area,Location,Location Id,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
0,4850000,720,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,4500000,600,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
2,6700000,650,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
3,4500000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
4,5000000,665,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
5,17000000,2000,8928.417794,Kharghar,146,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
6,12500000,1550,8928.417794,Kharghar,146,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
7,10500000,1370,7664.233577,Sector-13 Kharghar,102,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
8,10500000,1356,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
9,15000000,1680,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,8700000,980,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
11,9000000,1000,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0
12,11000000,1060,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
13,10500000,1095,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1
14,9700000,1155,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
15,10500000,1150,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
16,8000000,1250,10182.95501,Sector 18 Kharghar,173,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0
17,8500000,990,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
